binary,graph,node_num,threads_num,times,triang_num
./triangleCount_Cilk,belgium_osm.mtx,1441295,1,0.137418,2420
./triangleCount_Cilk,belgium_osm.mtx,1441295,2,0.077813,2420
./triangleCount_Cilk,belgium_osm.mtx,1441295,5,0.037439,2420
./triangleCount_Cilk,belgium_osm.mtx,1441295,8,0.031815,2420
./triangleCount_Cilk,belgium_osm.mtx,1441295,10,0.033054,2420
./triangleCount_Cilk,belgium_osm.mtx,1441295,20,0.043066,2420
./triangleCount_Cilk,com-Youtube.mtx,1134890,1,1.780065,3056386
./triangleCount_Cilk,com-Youtube.mtx,1134890,2,0.997810,3056386
./triangleCount_Cilk,com-Youtube.mtx,1134890,5,1.001900,3056386
./triangleCount_Cilk,com-Youtube.mtx,1134890,8,1.129637,3056386
./triangleCount_Cilk,com-Youtube.mtx,1134890,10,1.188797,3056386
./triangleCount_Cilk,com-Youtube.mtx,1134890,20,1.334426,3056386
./triangleCount_Cilk,mycielskian13.mtx,6143,1,0.323240,0
./triangleCount_Cilk,mycielskian13.mtx,6143,2,0.196654,0
./triangleCount_Cilk,mycielskian13.mtx,6143,5,0.107542,0
./triangleCount_Cilk,mycielskian13.mtx,6143,8,0.154279,0
./triangleCount_Cilk,mycielskian13.mtx,6143,10,0.179160,0
./triangleCount_Cilk,mycielskian13.mtx,6143,20,0.113787,0
./triangleCount_Cilk,dblp-2010.mtx,326186,1,0.105194,1676652
./triangleCount_Cilk,dblp-2010.mtx,326186,2,0.172712,1676652
./triangleCount_Cilk,dblp-2010.mtx,326186,5,0.184999,1676652
./triangleCount_Cilk,dblp-2010.mtx,326186,8,0.249553,1676652
./triangleCount_Cilk,dblp-2010.mtx,326186,10,0.231034,1676652
./triangleCount_Cilk,dblp-2010.mtx,326186,20,0.232969,1676652
./triangleCount_Cilk,NACA0015.mtx,1039183,1,0.353776,2075635
./triangleCount_Cilk,NACA0015.mtx,1039183,2,0.401042,2075635
./triangleCount_Cilk,NACA0015.mtx,1039183,5,0.383953,2075635
./triangleCount_Cilk,NACA0015.mtx,1039183,8,0.458654,2075635
./triangleCount_Cilk,NACA0015.mtx,1039183,10,0.457910,2075635
./triangleCount_Cilk,NACA0015.mtx,1039183,20,0.455073,2075635
