binary,graph,node_num,threads_num,times,triang_num
./triangleCount_Pthreads,belgium_osm.mtx,1441295,1,0.065997,2420
./triangleCount_Pthreads,belgium_osm.mtx,1441295,2,0.151126,2420
./triangleCount_Pthreads,belgium_osm.mtx,1441295,5,0.179258,2420
./triangleCount_Pthreads,belgium_osm.mtx,1441295,8,0.219871,2420
./triangleCount_Pthreads,belgium_osm.mtx,1441295,10,0.218236,2420
./triangleCount_Pthreads,belgium_osm.mtx,1441295,20,0.212502,2420
./triangleCount_Pthreads,com-Youtube.mtx,1134890,1,1.746166,3056386
./triangleCount_Pthreads,com-Youtube.mtx,1134890,2,1.718030,3056386
./triangleCount_Pthreads,com-Youtube.mtx,1134890,5,1.724751,3056386
./triangleCount_Pthreads,com-Youtube.mtx,1134890,8,1.757051,3056386
./triangleCount_Pthreads,com-Youtube.mtx,1134890,10,1.765564,3056386
./triangleCount_Pthreads,com-Youtube.mtx,1134890,20,1.681197,3056386
./triangleCount_Pthreads,mycielskian13.mtx,6143,1,0.344116,0
./triangleCount_Pthreads,mycielskian13.mtx,6143,2,0.339388,0
./triangleCount_Pthreads,mycielskian13.mtx,6143,5,0.302889,0
./triangleCount_Pthreads,mycielskian13.mtx,6143,8,0.267629,0
./triangleCount_Pthreads,mycielskian13.mtx,6143,10,0.249339,0
./triangleCount_Pthreads,mycielskian13.mtx,6143,20,0.195762,0
./triangleCount_Pthreads,dblp-2010.mtx,326186,1,0.091295,1676652
./triangleCount_Pthreads,dblp-2010.mtx,326186,2,0.174565,1676652
./triangleCount_Pthreads,dblp-2010.mtx,326186,5,0.233336,1676652
./triangleCount_Pthreads,dblp-2010.mtx,326186,8,0.247409,1676652
./triangleCount_Pthreads,dblp-2010.mtx,326186,10,0.247989,1676652
./triangleCount_Pthreads,dblp-2010.mtx,326186,20,0.256054,1676652
./triangleCount_Pthreads,NACA0015.mtx,1039183,1,0.303240,2075635
./triangleCount_Pthreads,NACA0015.mtx,1039183,2,0.399738,2075635
./triangleCount_Pthreads,NACA0015.mtx,1039183,5,0.492659,2075635
./triangleCount_Pthreads,NACA0015.mtx,1039183,8,0.562012,2075635
./triangleCount_Pthreads,NACA0015.mtx,1039183,10,0.578154,2075635
./triangleCount_Pthreads,NACA0015.mtx,1039183,20,0.610342,2075635
